gin,description drizly,description caskers
bummer and lazarus dry gin,"Bummer and Lazarus were two stray dogs that lived in San Francisco in the mid 1800s. Bummer rescued Lazarus from a fight, and from that point on they never separated. Most of the time back then, strays were killed on sight because dogs outnumbered humans 2 to 1, but Bummer and Lazarus were so loved that there was a separate statute allowing the dogs not only to roam the city, but downtown San Francisco where NO dogs were ever allowed. The reason for this was these were the best ‘ratters’ in the city. When Lazarus died over 30,000 people attended the funeral and when Bummer died Mark Twain wrote the eulogy. Mark Twain actually used the dogs in some of his stories. Bummer and Lazarus gin starts as brandy made from 100% California grapes then is redistilled with juniper berries, orris root, coriander seed, angelica root, bitter orange peel, lemon peel, cinnamon bark and licorice root.","Named in honor of two stray dogs that captivated the city of San Francisco, this gin is distilled from 100% California grapes."
citadelle reserve 2013 gin,"Nearly every gin sold on the market today is bottled immediately after distilling, but Citadelle Réserve Vintage sleeps for several months in small, seasoned French oak barrels before being bottled. While this is very unusual today, this painstaking and lengthy practice is reminiscent of how gin was stored and transported more than 100 years ago when glass (too fragile and expensive), plastic and stainless steel were not options. Gabriel’s experimentation began in 2008 when he put his Citadelle Gin into a few old French oak casks – and voilà, Citadelle Gin Réserve was born and became the first barrel-aged Citadelle gin. It was a very rounded gin with notes of wood and vanilla while still being very juniper forward. It was such a new and unique gin that it sold out within weeks of its global introduction! Upon tasting Citadelle Réserve 2008, the Spanish press called Gabriel the “master of spirits.”","Matured in three unique types of casks, this is the world's first solera aged gin."
city of london dry gin,,"Made with seven unique botanicals, this gin earned the title ""Master"" at the Gin Masters Competition in 2014."
comb jarhead gin,"Back in February 2011, Ed Tiedge, a former Marine and the master distiller at StilltheOne Distillery, was busy putting the finishing touches on another run of Comb 9 Gin when his phone rang. On the line was a volunteer from the Wounded Warrior Project, asking him to donate some of his gin for an auction to benefit wounded soldiers. Ed agreed without hesitation, before realizing he could do a whole lot better. Rather than just donate a few bottles of the gin he had on hand, Ed turned back to his copper pot still and got to work on an entirely new gin that would serve as a tribute to the injured troops. When he had finished, he was left with a case of twelve bottles of new gin: Comb Jarhead Gin, named as a nod to the Marines, with whom he so proudly served.","Distilled from New York state wheat and honey, a portion of the sales from this gin will be donated to the Wounded Warrior Project."
corsair barrel aged gin,USA: Corsair Barrel Aged Gin is an artisanal gin from Tennessee. The Corsair Barrel Aged Gin matured in barrels which were previously filled with Corsair Spiced Rum. The Corsair Barrel Aged Gin has accordingly strong spice notes and differs significantly from known gins!,"Made with a unique recipe of 14 botanicals, this gin earned the Silver Medal at The Fifty Best Tasting Competition in 2013."
curious gin,,
dorothy parker gin,"In an age of restless brilliance, Dorothy Parker was a singular sensation. A new Yorker at heart, her national celebrity sprang from her sharp, biting humor and widely quoted quips. Regularly seated at the famed Algonquin Round Table, she occupied the city’s cultural and intellectual center stage. An iconic enthusiast of gin and an unconventional woman, no one could have been a more interesting drinking companion. Dorothy Parker American Gin – a blend of traditional and contemporary botanicals including juniper and elderberries, citrus, cinnamon, and hibiscus – is as delicious in a Gin & Tonic as it is in a Gin Daisy.","Named after a literary legend, this gin is made using classic and contemporary botanicals."
dry fly gin,Different enough that even gin haters will like it and just familiar enough for gin lovers to embrace it as a new beginning in gin adventures.,"This gin is made from locally-sourced grains and botanicals, including dried Fuji apples and hops."
far north spirits solveig gin,"The Scandinavian woman’s name Solveig (we don’t pronounce the g) has deep Nordic roots, combining the elements sól sun and veig strength. We love both the history and the sound of Solveig – soulful, strong and bright. Just like our gin.","Each of these premium, artisanal spirits is distilled from grain-to-glass at the northernmost distillery in the United States."
few american gin,This gin may just redefine your love for the great libation. You will note wafts of lemon peel & warm vanilla awash in a silky grain spirit. And it is then you begin to notice the familiar nip of juniper on the edges of your tongue - the moment in which you remember you are drinking a new kind of gin. A better kind of gin. FEW American Gin.,This gin earned the Silver Medal at the San Francisco World Spirits Competition in 2012.
few standard issue gin,,"Made with locally-sourced ingredients and bottled at 114 proof, every drop of Few Standard Gin is handmade in Evanston, Illinois."
fifty pounds london dry gin,,"Made from a centuries old recipe, this gin earned a score of 93 points at the Ultimate Spirits Challenge."
greenhook ginsmiths american dry gin,"Greenhook Ginsmiths American Dry Gin-Made from Organic, New York State Grown Wheat, Tuscan Juniper, Coriander, Chamomile, Elderflower, Citrus, Thai Blue Ginger, Ceylon Cinnamon, Orris Root, and Elderberry.","Bold and crisp, this gin earned the Double Gold Medal at The Fifty Best Tasting Competition in 2013."
greenhook ginsmiths beach plum gin liqueur,"Made exclusively from local New York beach plums, this rare beauty is a seasonal treat with only 1,800 bottles produced. Greenhook Gin is macerated for over six months with the whole plums and filtered prior to bottling. Deep berry and floral notes, a meaty texture on the palate, rich and delicious; perfect for a champagne cocktail or anything with some fizz.","Roughly a pound of beach plums is used in each bottle of this gin, only 1,800 bottles of which have ever been made."
greenhook ginsmiths old tom gin,"Often considered the missing link between Dutch Genevers and modern dry gins, Old Tom Gin was the prevalent style of Gin in 18th century England. In GreenHook's quest to recreate this historical, full-bodied expression, they have crafted this special, overproof bottling from pot distilled corn, juniper, and botanicals inspired by the spice trade of the prevailing time period. Aged for one year in bourbon casks before being finished in Oloroso Sherry casks, Old Tom Gin is perfect for your next Martinez or Old Fashioned.","Aged for 12 months, this gin is bottled at over 100 proof."
jensen's london distilled old tim gin,,"Crafted in south London, these limited-edition gins are distilled using centuries old recipes."
knickerbocker gin,"Gin infused with 12 botanicals: juniper berry, coriander, angelic root, orange zest, lemon zest, cinnamon, ginger root, orris root, cardamom, fennel, clove, and nutmeg. Spirit is then redistilled filtered and bottled at 85 proof. Knickerbocker Gin is a vibrant, aromatic spirit twice distilled and infused with flavors from more than a dozen herbs and spices. Generous amounts of juniper-berries contribute a bright citrus and evergreen body, busting with flavor before a clean, dry finish.","A celebration of its Dutch origins, this gin is infused with a dozen unique herbs and botanicals."
monkey 47 schwarzwald dry gin,"A curious gin from the Black Forest in Germany. Made with 47 (yes, really) botanicals and bottled at 47%, they also use a 'secret weapon typical to the Black Forest' in the mix – lingonberries.","Crafted with 47 unique ingredients, this gin was named one of the ten best by The Independent. The gin also earned a score of 93 points from the Beverage Testing Institute in 2014."
no 209 gin,"Start with a love of gin and a reverence for tradition. Add a vintner’s passion for quality, the modern sensibility and drive of two extraordinary young women, and the skill of a brilliant master distiller. Mix in an affinity for the underdog, topped off with American ingenuity and hard work, and combine them all in the unique, cosmopolitan and slightly roguish city of San Francisco. No. 209 Gin, a small batch hand-crafted spirit with a flavor for the 21st Century.","Distilled from a secret recipe composed of all natural botanicals, No. 209 Gin is distilled five times by Distillery No. 209 in San Francisco."
prairie organic gin,"Bursts of herbs, sage, juniper and exotic spices, complementing a dry and refreshing taste with a long, delicate finish. It’s smooth from the ground up and easy going down.","Certified organic, each of these spirits is crafted by family farms in Minnesota."
ransom old tom gin,"This Old Tom Gin is a historically accurate revival of the predominant Gin in fashion during the mid 1800's and the golden age of American cocktails. The recipe was developed in collaboration with historian, author, and mixologist extraordinaire David Wondrich. Old Tom is the Gin for mixing classic cocktails dating from the days before prohibition. Its subtle maltiness is the result of using a base wort of malted barley, combined with an infusion of botanicals in high proof corn spirits. The final distillation is run through an alambic pot still in order to preserve the maximum amount of aromatics, flavor and body. Only the ""heart of the hearts"" (the very best portion of distillate) is retained for this special bottling.","Barrel-aged for 3-6 months, this gin earned a score of 93 points from the Beverage Tasting Institute."
spring44 old tom gin,"Brought to proof with water sourced from a unique spring, this gin is aged in toasted American oak barrels.","Brought to proof with water sourced from a unique spring, this gin is aged in toasted American oak barrels."
the bitter truth pink gin,"Pink gin started out life as a sea farers breakfast, drank to rally a man against the wiles of the ocean, but now it’s had a modern make over by The Bitter Truth. It begins with a Mediterranean bouquet on the nose, with juniper, lemons and warm spices. Wonderfully calm in the mouth, juniper is still at the helm but it is supported by a crew of fresh spiced flavors like licorice, caraway and fennel which cruise to a smooth whirlpool finish. This minx is not just a common gin with a fake tan; it’s a sophisticated metro sexual in a salmon jumper. The tradition of blending gin and bitters was first established by members of the Royal Navy to cure sea sickness. The Bitter Truth Pink Gin is a delicious blend of traditionally crafted gin and aromatic bitters. It is designed to please modern tastes with a soft and gentle mouth feel and fine complex flavors. It is best used on its own, as a Gin & Tonic or in your favorite Martini Cocktail.","Made with a proprietary blend of bitters, this gin earned the Gold Medal at the Femmes et Spiritueux du Monde Concours International Monaco in 2011."
the botanist islay dry gin,"The Botanist is back with a brand new beat bottle! Made by the geniuses at the Bruichladdich distillery, the Islay gin is jam packed with a tasty selection of botanicals big enough to make any botanist swoon.","Made using an astounding 31 different botanicals, this is the world's first and only Islay Dry Gin and was rated one of the world's ten best gins."
catoctin creek watershed gin,,"Made using a secret blend of ten different botanicals and spices, this gin earned the Gold Medal at the Beverage Testing Institute Competition in 2016."
aria portland dry gin,"Aria is full bodied and boldly aromatic. Juniper is up front—obvious on the first nosing and initially on the palate. Underneath the juniper, layers of bright citrus, earthy undertones, floral highlights and subtle spicy notes reveal themselves, both on the nose and palate, though none are overpowering. All of the layers of flavor are balanced. The pristine Bull Run water use to cut Aria after distillation provides a rich, creamy mouthfeel. The finish is long and soft.",
ki no bi kyoto dry gin,,
distiller's gin no. 6 brand,,
jensen's london distilled dry bermondsey gin,"Jensen’s has been designed to replicate the old-style London gins from the heyday of the gin cocktail and is one of the only small-batch London Dry gins actually produced in London. Bursting with juniper flavour, with a luscious texture and aromatic bite, Jensen’s is a taste of what London Dry used to be. A revelatory mixing gin.",
queens courage new york old tom gin,"Queens Courage is a New York Old Tom gin that is lighter than Dutch Genever, more full-bodied than London Dry, with a subtle sweetness derived from New York rooftop honey and a rich body derived from the premium malts used to create it. Queens Courage is perfect in a cocktail and smooth enough to enjoy neat or on the rocks.",
roundhouse imperial barrel aged gin,"To make Imperial, we start with Roundhouse’s signature, award-winning Gin, distilled in small batches from the finest all natural botanicals, and then age it to perfection in oak casks for at least 10 months. The process introduces scotch and whiskey flavors causing our patrons to affectionately nickname it “Ginskey.” Imperial’s complex character and smoothness are unlike any spirit you’ve ever had.",
roundhouse gin,"Roundhouse Gin is a New Western Gin, micro-distilled and bottled by hand in exceptionally small batches. We start with neutral grain spirit, which we redistill in a handmade, Spanish copper pot still with the traditional gin botanicals of juniper berry, coriander, citrus peel, star anise, angelica, and orris root. Hints of sencha green tea, lavender, and hibiscus and chamomile blossoms are added to give it a distinct, floral palette. We think you’ll agree: Roundhouse Gin is a truly inspired gin that departs the beaten path of mass produced spirits.",
silvertip american dry gin,"MT, USA- A pure grain spirit that reflects the flavors and aromatics that are unique to Montana. Infused with juniper, coriander, caraway, orris and angelica root; then distilled in small batches to create bold, peppery flavor balanced with light herbal and floral notes.",
blue bottle gin,BLUE BOTTLE IS THE EPITOME OF BOUTIQUE DISTILLED GIN. EACH BATCH IS METICULOUSLY CRAFTED IN OUR COPPER STILL AT THE THREE FINGERS DISTILLERY ON GUERNSEY. OUR GIN HAS A UNIQUE COMBINATION OF BOTANICALS SCRUPULOUSLY SELECTED TO CREATE A DELECTABLE TREAT.,
deviation citrus rose gin,"As with our American single malt whiskey, Citrus Rosé Gin begins with a 100% malted barley mash bill. Careful fermentation and two patient distillations result in delicate aromas of dried wildflowers. Hand-zested grapefruit, tangerine, and lemon along with juniper, lavender, tarragon, and grains of paradise were chosen to complement the floral nature of the grain. A third distillation with these botanicals yield this bright and citrusy pink gin.",
deviation mountain herb gin,"Mountain Herb Gin is Crafted from the same four grain mash bill as our bourbon. As with our whiskey, this fermented mash of locally sourced corn, millet, rye, and malted barley is then twice distilled. An herbaceous blend of wild foraged Rocky Mountain botanicals are added to complement the earthy flavors of the grains. A third gentle distillation with native juniper, rosemary, mountain sage, spruce tips, coriander, and lemon yields this complex, smooth, and savory gin.",
deviation spice trade gin,"Open fermentation in custom wooden vats, followed by double distillation yields classic notes of baking spices. Botanicals from around the globe are carefully selected to enhance this rye spice. A third distillation with juniper berries, Szechuan peppercorns, cardamom, lemon, Thai basil, ginger, and star anise results in this complex and exotic gin. *Contains pink peppercorns which may cause a reaction in those with allergies to tree nuts",
